,address,value
0,addr1qygvvgradk8rptrrm5xkcvtml9tzsdyvwx24t7u7df8n4caf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsa2tk5h,1000000
1,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,2783000
2,addr1qy4ugcdtesttast50cyr58cv0az22afy93kek0jen49gqq9f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsxnadwz,9000000
3,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,1344798
4,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,1793064
5,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,2448222
6,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,2241330
7,addr1qyg337ft5805dy7ht3wcvm3yn80vzac00vaueaq3a75w079f8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04lds6525lp,1000000
8,addr1q82z3jp3xgf7wtqzfawtuvzws52kjxze7p9zqscmc5mdakaf8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04lds0gyqnv,1811811953
9,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,497827590
10,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,4813340
11,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,248396082
12,addr1qxfqzrjmss503q269xcc8el30vyte87vad2hhkhjf0cuf2df8u4usdxh474ddk4g6wp82stsjclmx4fy4akmejf04ldsezly33,1758582
